Date, Open, High, Low, Close
12/23/2008,5520.82,5573.74,5447.12,5468.28
12/24/2008,5468.28,5496.09,5444.98,5487.33
12/26/2008,5487.33,5541.74,5487.33,5538.19
12/29/2008,5538.19,5564.82,5470.9,5534.64
12/30/2008,5534.68,5670.73,5534.68,5670
12/31/2008,5670,5793.54,5660.67,5757.05
1/2/2009,5755.76,5937.02,5732.68,5915.73
1/5/2009,5915.72,5963.7,5839.92,5908.43
1/6/2009,5908.39,6014,5901.51,5968.84
1/7/2009,5968.84,5968.84,5770.24,5799.05
1/8/2009,5799.05,5839.49,5741.89,5837.14
1/9/2009,5838.57,5842.06,5691.71,5702.37
1/12/2009,5702.38,5702.38,5515.15,5551.03
1/13/2009,5551.03,5560.45,5476.26,5538.84
1/14/2009,5538.69,5538.69,5284.39,5328.68
1/15/2009,5328.68,5394.34,5161.48,5347.75
1/16/2009,5347.75,5448.01,5254.7,5387.5
1/20/2009,5387.5,5387.5,5053.18,5058.06
1/21/2009,5058.06,5280.48,5043.28,5273.99
1/22/2009,5273.99,5273.99,5075.04,5171.68
1/23/2009,5170.91,5233.55,5023.47,5195.55
1/26/2009,5195.55,5347.08,5191.88,5244.61
1/27/2009,5244.63,5341.3,5240.95,5315.44
1/28/2009,5315.44,5528.49,5315.44,5501.46
1/29/2009,5501.46,5501.46,5293.43,5300.9
1/30/2009,5300.6,5342.04,5164.75,5195.79
2/2/2009,5195.79,5195.79,5090.99,5166.47
2/3/2009,5166.53,5294.35,5161.7,5268.02
2/4/2009,5268.02,5360.52,5221.26,5242.75
2/5/2009,5242.76,5360.04,5170.76,5326.01
2/6/2009,5326.01,5493.95,5325.54,5475.28
2/9/2009,5475.28,5524.12,5440.53,5479.88
2/10/2009,5478.89,5478.89,5184.71,5214.71
2/11/2009,5214.7,5288.79,5181.06,5252.68
2/12/2009,5252.63,5258,5091.04,5256.45
2/13/2009,5256.45,5285.76,5195.81,5206.76
2/17/2009,5206.75,5206.75,4939.06,4939.11
2/18/2009,4939.12,4966.67,4870.4,4924.54
2/19/2009,4924.54,5004.68,4866.65,4881.16
2/20/2009,4881.16,4881.16,4710.66,4804.51
2/23/2009,4804.59,4853.93,4628.01,4633.78
2/24/2009,4633.78,4836.32,4633.78,4821.74
2/25/2009,4821.65,4842.67,4680.72,4753.17
2/26/2009,4753.17,4859.54,4699.84,4713.02
2/27/2009,4713.02,4715.05,4596.9,4617.03
3/2/2009,4617.03,4617.03,4351.48,4360.98
3/3/2009,4360.98,4428.06,4297.39,4334.7
3/4/2009,4334.7,4529.75,4334.7,4464.89
3/5/2009,4464.89,4464.89,4234.7,4267.6
3/6/2009,4267.63,4386.05,4181.75,4284.49
3/9/2009,4284.48,4321.76,4203.91,4226.31
3/10/2009,4226.31,4499.38,4226.31,4499.38
3/11/2009,4499.62,4579.93,4457.97,4505.38
3/12/2009,4505.38,4697.07,4458.43,4684.99
3/13/2009,4684.99,4737.85,4639.31,4721
3/16/2009,4721.08,4858.93,4721.08,4728.91
3/17/2009,4728.91,4868.15,4690.16,4868.14
3/18/2009,4868.14,5012.58,4764.34,4975.3
3/19/2009,4975.3,5039.04,4927.98,4937.22
3/20/2009,4937.22,4955.12,4822.77,4832.13
3/23/2009,4832.15,5187.02,4832.15,5185.86
3/24/2009,5185.84,5185.85,5060.57,5064.33
3/25/2009,5064.32,5199.62,4987.67,5127
3/26/2009,5127,5232.55,5124.61,5230.53
3/27/2009,5230.53,5230.53,5083.06,5096.64
3/30/2009,5100.56,5100.56,4852.04,4899.05
3/31/2009,4899.05,5055.91,4899.05,4978.98
4/1/2009,4978.96,5100.33,4908.73,5085.76
4/2/2009,5085.76,5339.87,5085.76,5267.1
4/3/2009,5267.1,5318.84,5213.23,5318.75
4/6/2009,5318.73,5318.73,5172.78,5249.48
4/7/2009,5249.48,5249.48,5116.41,5120.67
4/8/2009,5120.86,5198.22,5107.95,5176.41
4/9/2009,5176.41,5376.98,5176.41,5376.44
4/13/2009,5376.44,5444.92,5304.71,5410.28
4/14/2009,5410.27,5410.27,5297.95,5301.5
4/15/2009,5301.5,5388.42,5273.37,5384.97
4/16/2009,5384.99,5487.1,5346.67,5454.27
4/17/2009,5454.27,5516.67,5424.79,5480.6
4/20/2009,5480.6,5480.6,5220.12,5220.12
4/21/2009,5220.12,5341.23,5177.3,5339.59
4/22/2009,5339.58,5404.68,5259.61,5290.61
4/23/2009,5290.61,5376.43,5271.23,5372.1
4/24/2009,5372.1,5500.28,5372.1,5468.41
4/27/2009,5468.33,5468.33,5368.96,5389.83
4/28/2009,5389.82,5425.48,5311.43,5369.85
4/29/2009,5369.86,5565.01,5369.86,5516.14
4/30/2009,5516.15,5622.23,5494.18,5513.36
5/1/2009,5513.36,5588.59,5492.87,5568.76
5/4/2009,5568.76,5801.6,5568.76,5800.22
5/5/2009,5800.22,5800.3,5726.88,5770.76
5/6/2009,5770.76,5900.76,5770.76,5890.55
5/7/2009,5890.55,5965.18,5763.3,5800.09
5/8/2009,5800.09,6003.97,5800.09,6000.39
5/11/2009,6000.39,6000.39,5846.23,5849.3
5/12/2009,5849.3,5904.58,5777.68,5859.14
5/13/2009,5858.43,5858.43,5657.54,5666.47
5/14/2009,5666.46,5767.55,5645.77,5733.45
5/15/2009,5733.45,5760.24,5630.96,5662.89
5/18/2009,5662.89,5868.48,5662.89,5865.87
5/19/2009,5865.88,5927.43,5845.61,5872.22
5/20/2009,5872.23,6002.18,5859.45,5870.39
5/21/2009,5869.24,5869.24,5727.34,5780.54
5/22/2009,5780.54,5844.85,5773.8,5789.62
5/26/2009,5789.62,5946.09,5746.61,5936.58
5/27/2009,5936.52,5959.92,5816.85,5823.56
